   Power SFT.R.sq  slope truncated.R.sq mean.k. median.k. max.k.
1      1    0.177  0.562          0.649 3690.00  3800.000 6100.0
2      2    0.189 -0.499          0.679 1600.00  1530.000 3720.0
3      3    0.497 -1.020          0.811  802.00   688.000 2480.0
4      4    0.641 -1.310          0.873  443.00   332.000 1730.0
5      5    0.702 -1.490          0.898  262.00   169.000 1260.0
6      6    0.732 -1.600          0.913  163.00    91.500  939.0
7      7    0.768 -1.630          0.933  106.00    51.600  715.0
8      8    0.793 -1.640          0.945   71.20    29.900  554.0
9      9    0.805 -1.660          0.949   49.20    18.100  437.0
10    10    0.794 -1.700          0.940   34.90    11.300  349.0
11    12    0.798 -1.700          0.933   18.60     4.630  230.0
12    14    0.884 -1.570          0.972   10.60     1.990  156.0
13    16    0.886 -1.600          0.966    6.42     0.892  115.0
14    18    0.897 -1.620          0.976    4.05     0.420   91.4
15    20    0.882 -1.650          0.948    2.66     0.201   74.0
