Module,GO_term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes
Ast1,cellular nitrogen compound catabolic process (GO:0044270),4/7,1.0302427761015573e-05,0.0220471954085733,55.38439716312057,PM20D1;CYP3A4;NIT1;CYP3A5
Ast2,"regulation of transcription, DNA-templated (GO:0006355)",422/2244,8.770403791900848e-10,4.317669786752788e-06,1.4360795290150214,NUP107;TRRAP;ZNF292;BACH2;MSANTD1;ZSCAN31;ZSCAN30;CREB3L4;ZSCAN32;ZXDC;SAMD13;ZNF169;CDK5RAP2;ZNF19;ZNF285;ZNF160;MED8;SOX13;RFX1;SOX10;ZNF16;AR;RFX8;ZSCAN20;ZSCAN22;ZSCAN21;ZSCAN26;ZSCAN25;ATF5;SKAP1;ZSCAN29;ZNF28;ZNF397;ZNF276;ZNF155;ZNF154;ZNF394;ZNF273;ZNF391;PRDM15;BAZ2A;XPC;MTDH;PRDM16;WBP2NL;HESX1;ZSCAN12;RREB1;ZNF266;ZNF264;CDK18;ZNF143;ZNF263;PHC1;ZNF141;MTERF3;ZNF260;NFATC2;NFATC1;ZNF34;SNF8;POU6F1;DHFR;ZNF37A;ZNF30;ZNF138;ZBTB8B;ZNF136;ZNF135;EZH2;LIN54;PHF2;BTG1;GMEB2;SETD3;ZNF491;PHF20;KDM8;ZNF43;ZNF44;ZNF45;PHF8;MECP2;ING4;JARID2;TEAD1;ZNF367;ZNF487;ZNF124;ZNF486;ZNF484;ZNF121;ZNF362;ZNF480;ANXA4;ACTL6A;MED27;ZNF57;SIRT2;TAF6L;MED24;NCOR1;AHRR;ZNF239;ZNF236;ZNF235;ZNF597;PPARD;ZNF112;ZNF596;ZNF232;ZNF473;ZNF230;ZNF470;SRRT;ZNF66;ZNF69;NSD3;ZNF229;PLAGL2;ZNF107;BRD9;ZNF347;ZNF225;ZNF224;ZIM2;ZNF101;ZNF221;ZNF341;UTP4;STAT1;NR1H2;STAT2;ATAD2;MBD2;PCGF3;NR1H3;ZNF77;WTIP;ZNF79;TARBP1;ZNF33B;HINFP;PHF5A;MYBBP1A;ZNF71;NFIC;PKN1;ZNF699;ZNF578;ZNF214;ZNF577;ZNF576;ZNF454;ZNF333;ZNF696;ZNF575;BRDT;ZNF574;ZNF691;ZNF570;CCNT1;ZBTB25;ZBTB24;RUVBL1;ZNF449;ZNF569;ZNF689;ZNF567;ZNF566;ZNF444;ZNF202;ZFP37;FADS1;ZNF563;PIAS4;ZNF441;ZNF320;ANKRD49;MAMSTR;ZBTB38;FOXP4;FOXP1;HIC2;ILF3;ZNF318;ZNF559;PGR;ZNF557;ZNF554;ZNF311;ZNF674;ZNF431;ZNF430;ZNF793;KMT2D;ZNF671;KMT2A;RLF;NPAS2;NPAT;ATXN1;ZKSCAN7;ZNF429;ZNF549;ZKSCAN3;ABL1;SAFB2;ZKSCAN2;ZNF426;ZNF789;ZNF668;ZNF425;E4F1;ZNF423;MAP2K7;ZNF665;ZNF544;ZNF785;ZNF782;ZNF540;ZNF660;FUS;ZBTB16;ESRRB;ZBTB11;SP2;ZNF419;ZFP62;ZNF418;ZNF417;ZNF415;ZNF778;ZNF777;ZNF534;SP140L;ZNF774;BNC2;ZFP82;SIN3A;ZNF649;ZNF528;ZNF527;ZNF525;ZNF765;EID2B;ZNF761;ZNF880;ARNT;ZNF75D;TFDP1;ZNF519;CTDSP1;ZNF517;ZNF514;CRK;L3MBTL4;ZNF630;TRIM56;HDAC5;SMARCD2;SMARCD3;ZBTB47;HDAC1;ZBTB46;ZBTB49;ZBTB48;LRP5;ZBTB43;TULP3;PPM1F;LRP6;ZBTB40;RBBP8;ZNF865;ZNF623;ZNF502;PCBD2;ZNF501;ZNF621;E2F6;TRIM44;ZNF740;TRIM45;RNF20;ASCC1;MGA;FOXJ2;KLF8;POLR3C;ZNF616;ZNF613;BCOR;ZNF611;ZNF610;ZNF730;SMARCB1;JMJD1C;IKZF3;IKZF4;SOX2;KAT5;CHEK2;ZNF844;CCNL2;ZNF600;ZNF841;SMARCC1;SMARCC2;SFMBT1;SFMBT2;ZFP3;EBF4;RUNX2;JMJD6;RUNX1;ZNF714;ZNF713;L3MBTL2;EPAS1;SP140;ZBTB5;MBTD1;PGBD1;BRIP1;ZNF704;ZBED1;ZNF701;ZNF821;ZNF700;PATZ1;STAT5A;SETDB2;SNW1;VSX1;CC2D1A;CC2D1B;BRCA1;LIMD1;ZNF808;SCML2;ZNF805;UIMC1;CD38;ZNF587B;PRMT5;PRMT2;NCOA6;TFEB;ZFY;TOX4;MDFIC;KIT;ZNF2;TRAK1;HIRA;ZFP14;RXRA;CREG1;TBL1X;ZNF354A;MAMLD1;ZNF354B;ZSCAN9;LOXL3;NRL;ETS1;ZNF81;ZNF83;ZNF85;PCID2;KDM2B;ZNF91;PPIE;MZF1;NOP2;DEAF1;CAMTA1;SUDS3;ZFHX3;ZFHX2;TFAP2E;PHF12;SMAD9;SMAD6;ESR1;ESR2;SMAD7;TCF3;ZSCAN2;KDM5B;KDM5C;LDB1;CHD8;CBY1;ILK;CHD4;BCL7A;IRF3;CRY2;IRF2;RBM23;KDM3A;USP16;LIN9;RNF4;NR2C1;ERBB2;MTA3;TCFL5;SPEN;TCF7L2;TAF15;EGF;ZNF182;ATP2B4;MAPK14;TBX19;TEF;ERCC6;NAA15;TAF5
Ast2,DNA repair (GO:0006281),82/298,2.6397362456907293e-09,6.497710768767731e-06,2.285895303714263,MDC1;SETD2;MRE11;TRRAP;BRCA1;POLB;ENDOV;KAT5;CHEK2;UIMC1;TNKS1BP1;KMT5B;POLL;TOPBP1;POLE;POLH;PIAS4;RFC5;WDHD1;PARP4;RFC4;LIG1;KMT5C;NSMCE1;RECQL;LIG3;COMMD1;DDB2;RNF168;RAD51D;NEIL2;RAD51C;NSMCE4A;FANCD2;NEIL1;FAN1;EXD2;DOT1L;IGHMBP2;XPC;PRIMPOL;POLD3;BRIP1;RECQL5;SLX4;TDG;ABL1;RBBP8;MUTYH;ZRANB3;FANCI;MBD4;MGME1;KDM4B;FANCM;POLN;MGMT;ASCC1;INTS3;XRCC3;FANCA;XRCC1;FANCC;GTF2H3;MLH1;MLH3;HINFP;SETX;FAM111A;ERCC3;TDP1;RFWD3;ERCC2;SPRTN;RAD17;NABP1;ERCC8;ATM;RAD1;ERCC5;ERCC6;ATR
Ast2,regulation of transcription by RNA polymerase II (GO:0006357),410/2206,7.253005117903736e-09,1.190218139848003e-05,1.4109823462056297,PID1;EHMT2;ZNF292;SLA2;BACH2;ZSCAN31;ZSCAN30;CREB3L4;ZSCAN32;ZXDC;ZNF169;ZNF19;ZNF285;ZNF160;MED8;SOX13;RFX1;SOX10;ZNF16;AR;RFX8;ZSCAN20;TFR2;ZSCAN22;ZSCAN21;ZSCAN26;ZSCAN25;MAML3;ATF5;SKAP1;ZSCAN29;ZNF28;ZNF397;ZNF276;ZNF155;ZNF154;ZNF394;ZNF391;PRDM15;PRDM10;MTDH;PRDM16;HESX1;ZSCAN12;RREB1;ZNF266;ZNF264;ZNF143;ZNF263;JAG1;ZNF141;JUP;ZNF260;NFATC2;NFATC1;ZNF34;SNF8;POU6F1;SETX;MOV10;ZNF37A;AGO4;AGO2;ZNF30;ZBTB8B;ZNF136;EZH1;ZNF135;EZH2;PHF2;RARG;GMEB2;SETD3;ZNF491;PHF20;ZNF43;ZNF44;ZNF45;PHF8;MECP2;CSRP3;TEAD1;ZNF367;ZNF487;ZNF124;ZNF484;ZNF121;ZNF362;ZNF480;ANXA4;ACTL6A;TET1;MED27;ZNF57;SIRT2;TAF6L;MED24;NCOR1;TET3;AHRR;ZNF239;ZNF236;ZNF235;ZNF597;PPARD;ZNF112;ZNF596;KANK2;ZNF232;ZNF473;ZNF230;CTDP1;ZNF470;ZNF69;ZNF229;PLAGL2;ZNF107;BRD9;ZNF347;BRD8;ZNF225;ZNF224;ZIM2;ZNF101;STAT1;NR1H2;STAT2;ATAD2;MBD2;PCGF3;NR1H3;ZNF77;ZNF79;GTF2H3;TARBP1;ZNF33B;HINFP;ZNF71;NFIC;PKN1;ZNF699;ZNF578;ZNF335;ZNF214;ZNF577;ZNF576;ZNF454;ZNF333;ZNF696;ZNF575;ZNF574;ZNF691;ZNF570;CCNT1;ZBTB25;ZBTB24;FGF1;RUVBL1;ZNF449;ZNF569;ZNF689;ZNF567;ZNF566;ZNF444;ZNF202;ZFP37;ZNF563;PIAS4;ZNF441;ZNF320;MAMSTR;ZBTB38;FOXP4;FOXP1;HIC2;ZNF559;PGR;ZNF557;ZNF554;ZNF311;ZNF674;ZNF431;ZNF793;KMT2D;ZNF671;KMT2A;RLF;NPAS2;NPAT;ATXN1;ZKSCAN7;ZNF429;ORC2;ZNF549;ZKSCAN3;ABL1;SAFB2;ZKSCAN2;ZNF426;ZNF789;ZNF668;ZNF425;E4F1;ZNF665;ZNF544;ZNF785;ZNF782;ZNF540;ZNF660;FUS;ZBTB16;ESRRB;CDK7;SP2;ZNF419;CNOT1;ZFP62;ZNF418;ZNF417;ZFP64;ZNF415;ZNF778;ZNF777;ZNF534;SP140L;ZNF774;ZFP82;SIN3B;SIN3A;ZNF649;ZNF528;ZNF527;NCK2;DNMT3B;ZNF525;ZNF765;ZNF761;ZNF880;ARNT;ZNF75D;METTL23;TFDP1;CTDSP1;ZNF517;ZNF514;CRK;ZNF630;HDAC5;SMARCD2;SMARCD3;ZBTB47;HDAC1;ZBTB46;ZBTB49;ZBTB48;LRP5;ZBTB43;HDAC8;PPM1D;LRP6;ZBTB40;RBBP8;ZNF865;ZNF623;ZNF501;ZNF621;E2F6;ZNF740;MGA;KCNIP3;FOXJ2;TNRC6C;KLF8;DNAJA3;ZNF616;ZNF613;BCOR;ZNF611;ZNF610;SMARCB1;JMJD1C;IKZF3;IKZF4;SOX2;KAT5;ZNF844;TRIM27;CCNL2;ZNF600;ZNF841;SMARCC1;SMARCC2;ZFP3;SLC11A1;EBF4;RUNX2;JMJD6;RUNX1;IFI27;EPAS1;SP140;ZBTB5;RPAP2;PGBD1;BRIP1;MIER2;ZNF704;ZBED1;ZNF701;ZNF821;ZNF700;PATZ1;LYAR;STAT5A;SNW1;ATM;CC2D1A;CC2D1B;BRCA1;ZNF808;ZNF805;ZNF587B;NCOA6;NCOA3;TFEB;ZFY;RGMA;TOX4;KIT;TLR4;DOT1L;ZNF2;TRAK1;HIRA;ZFP14;RXRA;CREG1;TBL1X;PER3;CAMK1;ZNF354A;MAMLD1;ZNF354B;CRTC3;CRTC1;KDM1B;FHOD1;ZSCAN9;NRL;ETS1;ZNF81;ZNF83;POGZ;KDM2B;ZNF91;PRPF6;MZF1;AKNA;NOP2;DEAF1;CAMTA1;RPRD1B;SUDS3;ZFHX3;ZFHX2;TFAP2E;PHF12;ECD;SMAD9;SMAD6;ESR1;ESR2;SMAD7;AHI1;CAPRIN2;TCF3;FGFR2;ZSCAN2;KDM5B;LDB1;CHD8;CHD4;PKD2;FLCN;IRF3;CRY2;IRF2;ITGB1BP1;MCPH1;KDM3A;USP16;LIN9;RNF4;NR2C1;ERBB2;MTA3;TCFL5;IGBP1;SPEN;TCF7L2;ZNF182;ATP2B4;MAPK14;TBX19;TEF;TNIP1;KANSL3;LPIN1;RBMX;TAF1
Ast2,DNA metabolic process (GO:0006259),75/277,2.6207891632758173e-08,3.2255362627017114e-05,2.2319464438445267,SMARCB1;MRE11;TRRAP;MCM8;BRCA1;POLB;ENDOV;KAT5;LONP1;KMT5B;POLL;TOPBP1;POLE;POLH;POLG;TOP3B;RFC5;WDHD1;DFFB;USP7;PARP4;RFC4;LIG1;KMT5C;RECQL;SETMAR;LIG3;DDB2;RAD51D;RAD51C;NSMCE4A;MCM3;DNASE1;MCM6;NEIL1;FAN1;DNASE1L1;EXD2;DNMT1;PRIM1;DOT1L;IGHMBP2;XPC;SAMHD1;PRIMPOL;POLD3;RECQL5;SLX4;TDG;ORC2;RBBP8;MUTYH;SRPK2;ZRANB3;MBD4;TCF7L2;STN1;MGMT;INTS3;XRCC3;FANCA;XRCC1;FANCC;NOC3L;GTF2H3;HINFP;POLA2;ERCC3;TDP1;RAD17;NABP1;ATM;RAD1;ERCC5;ATR
Ast2,cellular response to DNA damage stimulus (GO:0006974),86/350,3.034271528295445e-07,0.0002987543746759695,1.9587307767179287,MRE11;TRRAP;MCM8;MCM9;ASH2L;SMC6;BRCA1;POLB;ENDOV;CHEK2;MACROD1;CASP2;KMT5B;TOPBP1;POLH;ZNF385A;RFC5;WDHD1;PARP4;RFC4;LIG1;NCOA6;KMT5C;DDX11;ZBTB38;METTL3;RECQL;ZDHHC16;MASTL;DDB2;FOXP1;RNF168;KIN;RAD51D;RAD51C;NSMCE4A;IRF3;MAPKAPK2;FAN1;USP16;USP10;BRAT1;DOT1L;BOD1L1;IGHMBP2;XPC;SAMHD1;ZBTB40;MRNIP;RECQL5;SLX4;BCL2L11;RBBP5;ABL1;RBBP8;MORC2;MUTYH;LYN;ZRANB3;MBD4;TIGAR;SLF2;MGMT;CCDC13;INTS3;XRCC3;FANCA;NFATC2;FANCC;GTF2H3;MAPK14;HINFP;SETX;CUL4A;FAM111A;ERCC3;TDP1;RFWD3;SPRTN;RAD17;NABP1;ERCC8;ATM;RAD1;ATR;TAF1
Ast2,organelle assembly (GO:0070925),97/425,2.0197948042816837e-06,0.0016572416369131,1.7784166877856524,CEP126;GALNT11;TMEM41B;UBXN2A;AVIL;CEP19;TXNDC15;PTPDC1;CDC14B;GOLGA2;EIF4ENIF1;POGZ;TEKT1;RCC1;DNAAF1;TMOD3;STARD9;CEP131;CIRBP;GOLGA8M;CSNK1D;CYS1;ATG14;IFT88;BIN2;FAM161A;IFT81;TMEM138;ULK2;GOLGA8A;DDX6;ABCB6;TUBGCP2;DHX37;ATG7;BBS1;CFAP70;NEK6;RAB3IP;HPS1;SNF8;NSFL1C;AHI1;EHD4;TMEM17;ATG16L2;ATG2A;TUBGCP3;DHX29;PTPN23;LIMD1;BICD1;IFT52;PCM1;TCTN2;TCTN1;SH3PXD2B;CNGA4;CFAP43;SNAP29;ABCC4;CFAP52;EXOC7;IFT140;PLA2G4C;HAUS3;KIF24;HAUS6;WIPI1;WIPI2;WDR35;HAUS1;PATL2;CFAP221;TRAPPC6A;NCOR1;RILPL2;EXOC3;MAPT;CFAP54;RAB7A;BECN1;WDR45B;DNAH5;ASAP1;ABLIM1;ABLIM3;MVB12A;PDE6D;GSN;ATAT1;TTLL3;CEP162;B9D1;CCDC66;CLUAP1;CCDC61
Ast2,recombinational repair (GO:0000725),27/79,8.559557632072566e-06,0.0056702087311028,3.0961471244589034,EXD2;MRE11;AP5Z1;MCM8;MCM9;BRCA1;SMC6;SAMHD1;ZFYVE26;RECQL5;SLX4;RBBP8;POLL;AP5S1;HELQ;POLN;XRCC3;NSMCE1;RECQL;XRCC1;LIG3;RAD51D;RAD51C;RFWD3;NABP1;ERCC5;FAN1
Ast2,double-strand break repair via homologous recombination (GO:0000724),31/97,9.214233160435327e-06,0.0056702087311028,2.8023992108696345,EXD2;MRE11;AP5Z1;MCM8;MCM9;SMC6;BRCA1;SAMHD1;ZFYVE26;RECQL5;SLX4;RBBP8;POLL;AP5S1;GINS2;HELQ;FANCM;POLN;XRCC3;NSMCE1;RECQL;XRCC1;LIG3;RAD51D;RAD51C;RFWD3;MCM3;NABP1;ERCC5;MCM6;FAN1
Ast2,transcription by RNA polymerase II (GO:0006366),74/320,1.970394557081849e-05,0.0107780582272377,1.8029538717562013,INTS11;RARG;SETD2;GMEB2;ELL;CCNT1;ICE1;HSF2BP;PHAX;AFF4;SNAPC4;SNRPD3;NELFA;NELFCD;TEAD1;GTF2I;PCID2;SUPT16H;NCBP2;MED27;AR;NCOR1;TFDP1;PGR;MAML3;PPARD;ZNF473;HDAC5;CTDP1;HDAC1;CSTF2;SRRT;C5AR1;DTX1;RPAP1;RPAP2;NR2C1;GTF2E2;IWS1;RXRA;DEAF1;POLR2D;LEO1;POLR2F;RPRD1B;TBL1X;RREB1;TCFL5;ZNF143;ZNF141;TAF15;TAF12;INTS3;NR1H2;ESRRB;TAF11;NR1H3;RPRD2;GTF2H3;ESR1;ESR2;SETX;CDK7;SNW1;ERCC3;NFIC;ERCC2;TAF8;NABP1;TAF4B;ERCC6;TAF5;RBMX;TAF1
