Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),48/621,1.8901845877343175e-17,4.668755931703764e-14,0,0,5.069791406964182,195.2238371532339,IFITM3;NUMBL;CDKN1A;CIITA;IFITM2;NOD1;CSF2RB;IFI35;CXCL2;ICAM1;IL18BP;LMNB1;SOCS3;UGCG;MUC1;CA1;TRIM5;PIM1;CCL2;GBP2;GBP1;TRIM22;IL13RA1;IFNAR2;ANXA1;ANXA2;IL1R1;MMP1;STAT3;FN1;IFNLR1;OSMR;SOD2;F3;PML;PSMB9;TNFRSF1A;BST2;AIM2;TNIP2;CLCF1;IRF1;IRF7;PLP2;LTBR;MAP3K14;CD44;IRF9
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),39/482,5.502238469256348e-15,6.795264509531589e-12,0,0,5.215324805618259,171.23800009908277,NUMBL;CDKN1A;IFITM2;SHMT1;MT1X;CSF2RB;ADAMTS12;CXCL2;YBX3;ICAM1;IL18BP;SOCS3;MUC1;SBNO2;ZFP36;IFI16;PIM1;CCL2;GBP2;GBP1;GBP3;IL13RA1;IFNAR2;ANXA1;IL1R1;MMP1;STAT3;FN1;DAB2IP;IFNLR1;OSMR;F3;TNFRSF1A;AIM2;CLCF1;IRF1;PTPN9;CHI3L1;PLP2
GO_Biological_Process_2021,response to cytokine (GO:0034097),17/150,2.0899528024970733e-09,1.7207278073892574e-06,0,0,7.205180581511582,144.00363509340144,IFITM3;IFNAR2;GGT5;CIITA;IFITM2;ANXA1;GCH1;IL1R1;STAT3;IFNLR1;OSMR;PML;IL18BP;BST2;PLSCR1;CHI3L1;PTPN9
GO_Biological_Process_2021,response to interferon-beta (GO:0035456),8/28,2.467955868503456e-08,1.5239627488008838e-05,0,0,22.103661971830984,387.1962683065078,IFITM3;IFNAR2;BST2;PLSCR1;IFITM2;AIM2;IFI16;IRF1
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),11/68,3.6801752378488594e-08,1.818006567497337e-05,0,0,10.734649122807015,183.7527219964056,CIITA;TRIM5;IRF1;IRF7;GBP2;GBP1;TRIM22;CD44;IRF9;PML;ICAM1
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),13/121,3.142999945871832e-07,0.0001293868311050571,0,0,6.716322751322752,100.56294921507038,CIITA;PML;ICAM1;TRIM5;IRF1;IRF7;CCL2;GBP2;GBP1;TRIM22;CD44;IRF9;GBP3
GO_Biological_Process_2021,positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),15/171,5.610632808828766e-07,0.00019797518625438643,0,0,5.382681255526083,77.47525736994778,SHISA5;TNFRSF10B;NOD1;LITAF;TNFRSF1A;BST2;AKAP13;TRIM5;TNIP2;LTBR;ALPK1;MAP3K14;TRIM22;APOL3;LTF
GO_Biological_Process_2021,positive regulation of intracellular signal transduction (GO:1902533),28/546,8.868248977180832e-07,0.0002738071871704582,0,0,3.0849536103267448,42.99073593639604,PDGFA;NOD1;IFI35;ADRB2;LITAF;AKAP13;TRIM5;FAM110C;APOL3;TRIM22;UNC5B;FN1;DAB2IP;SHISA5;TNFRSF10B;NMI;F3;TNFRSF1A;BST2;MFHAS1;PTP4A3;TNIP2;CHI3L1;NUPR1;LTBR;ALPK1;MAP3K14;LTF
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),9/65,2.5267853315940496e-06,0.0006155271602915988,0,0,8.889679176755449,114.5751873019955,IFITM3;IFNAR2;BST2;IFITM2;IRF1;IRF7;IFI35;GBP2;IRF9
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),9/65,2.5267853315940496e-06,0.0006155271602915988,0,0,8.889679176755449,114.5751873019955,IFITM3;IFNAR2;BST2;IFITM2;IRF1;IRF7;IFI35;GBP2;IRF9
