Module,GO_term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes
Mic1,translational elongation (GO:0006414),15/104,7.923420303319384e-10,6.548676926330425e-07,9.303942106265474,MRPS15;MRPS26;MRPS12;MRPS34;MRPS21;MRPL24;MRPL10;MRPS18C;MRPL44;MRPL41;MRPL20;MRPL2;MRPL40;MRPL51;EEF1A2
Mic1,mitochondrial translational elongation (GO:0070125),14/89,9.040971366309835e-10,6.548676926330425e-07,10.282967136150235,MRPS15;MRPS26;MRPS12;MRPS34;MRPS21;MRPL24;MRPL10;MRPL44;MRPS18C;MRPL41;MRPL20;MRPL2;MRPL40;MRPL51
Mic1,mitochondrial translational termination (GO:0070126),14/89,9.040971366309835e-10,6.548676926330425e-07,10.282967136150235,MRPS15;MRPS26;MRPS12;MRPS34;MRPS21;MRPL24;MRPL10;MRPL44;MRPS18C;MRPL41;MRPL20;MRPL2;MRPL40;MRPL51
Mic1,translational termination (GO:0006415),14/96,2.5223404219161383e-09,1.3702614342059422e-06,9.401786327722432,MRPS15;MRPS26;MRPS12;MRPS34;MRPS21;MRPL24;MRPL10;MRPL44;MRPS18C;MRPL41;MRPL20;MRPL2;MRPL40;MRPL51
Mic1,mitochondrial translation (GO:0032543),14/105,8.324078208763566e-09,3.617644389528646e-06,8.46803900325027,MRPS15;MRPS26;MRPS12;MRPS34;MRPS21;MRPL24;MRPL10;MRPS18C;MRPL44;MRPL41;MRPL20;MRPL2;MRPL40;MRPL51
Mic1,translation (GO:0006412),18/214,1.0052680213511977e-07,3.640745683993587e-05,5.085034013605442,RPL4;RWDD1;MRPS15;RPL21;MRPS12;MRPS34;DHPS;MRPS21;RPL35A;MRPL24;MRPL10;MRPS18C;MRPL41;MRPL2;MRPL51;EEF1A2;EEF1E1;RPL26L1
Mic1,gene expression (GO:0010467),21/356,3.2191076387759493e-06,0.0009993029855800198,3.475862068965517,RPL4;MRPS15;RPL21;RBM8A;MRPS12;DHPS;MRPS21;DDX54;RPL35A;MRPL24;MRPL10;THOC7;MRPS18C;MRPL44;U2AF1L4;MRPL41;HNRNPK;MRPL51;EEF1A2;SRSF2;POLR2H
Mic1,peptide biosynthetic process (GO:0043043),13/162,1.0145368095696627e-05,0.002118757004857,4.774639921574542,RPL4;MRPS15;RPL21;MRPS12;DHPS;MRPS21;RPL35A;MRPL24;MRPL10;MRPS18C;MRPL41;MRPL51;EEF1A2
Mic1,regulation of release of cytochrome c from mitochondria (GO:0090199),7/41,9.003716709532456e-06,0.002118757004857,11.145515112122196,MLLT11;MOAP1;FAM162A;BNIP3;AKT1;GHITM;CLU
Mic1,mitochondrial transport (GO:0006839),8/56,8.162786979679687e-06,0.002118757004857,9.041089566020316,TIMM8B;BNIP3;AIP;TIMM13;SLC25A4;TMEM14B;TOMM22;TMEM14C
Mic1,negative regulation of amyloid-beta formation (GO:1902430),5/17,1.072541511892663e-05,0.002118757004857,22.45764652014652,PRNP;RTN3;RTN1;PIN1;CLU
