"","medianRank.pres","medianRank.qual","Zsummary.pres","Zsummary.qual"
"black",16,19,12,24
"blue",14,21,18,22
"brown",18,18,16,38
"cyan",5,4,13,22
"darkgreen",23,14,-1.9,8.7
"darkred",2,1,7.3,16
"gold",18,23,17,-1.3
"green",5,6,23,39
"greenyellow",12,9,12,25
"grey",24,24,-5.2,-20
"grey60",2,2,9.3,20
"lightcyan",7,8,10,17
"lightgreen",8,7,8.6,14
"lightyellow",5,3,9.1,17
"magenta",15,15.5,11,20
"midnightblue",12,15,9.9,15
"pink",19,20,5.6,18
"purple",21,22,1.7,12
"red",16,12,14,30
"royalblue",22,13.5,0.24,9.7
"salmon",11,11,12,24
"tan",9,10,12,21
"turquoise",9,17,25,35
"yellow",6,5,24,45
