"","medianRank.pres","medianRank.qual","Zsummary.pres","Zsummary.qual"
"black",18,21,7.4,16
"blue",4,7.5,28,53
"brown",11,16.5,20,40
"cyan",23,9.5,1.8,19
"darkgreen",13,11.5,3.7,11
"darkred",1,3,8.4,14
"darkturquoise",6,2,6.1,15
"gold",19,24,14,1
"green",17,15,9.3,25
"greenyellow",8,14,11,19
"grey",25,25,-5,-18
"grey60",5,1,8.1,21
"lightcyan",4,13,8.8,15
"lightgreen",22,6.5,1.8,17
"lightyellow",17,5,4.1,16
"magenta",24,19.5,-2.1,17
"midnightblue",7,11,8.6,17
"pink",10,18,12,20
"purple",11,19.5,9.9,16
"red",9,16.5,11,23
"royalblue",5,4,7.7,17
"salmon",17,7,4.6,19
"tan",21,9.5,3.8,22
"turquoise",14,22.5,18,25
"yellow",16,22.5,11,20
