module_id	genes
1	A2M
1	ACKR4
1	ACMSD
1	ACOT2
1	ACOT6
1	ACSM3
1	ADAM21
1	ADAMTS16
1	ADGRG2
1	ADH4
1	ADH6
1	ADPRM
1	AGBL3
1	AGBL5
1	AKNAD1
1	ALG1L2
1	ALOX12
1	ALX3
1	AMMECR1
1	AMN
1	AMZ1
1	ANGPT2
1	ANGPTL1
1	ANGPTL2
1	ANKRD23
1	ANKRD53
1	ANKUB1
1	AP4M1
1	APCDD1L
1	APOBEC2
1	APOBEC4
1	AQP11
1	ARG2
1	ARGLU1
1	ARHGEF38
1	ART4
1	ASB14
1	ASB16
1	ASPN
1	ASTE1
1	ATAD5
1	ATP2A1
1	ATP8B1
1	AUNIP
1	B3GNT5
1	BBOF1
1	BCL2L14
1	BCL2L2
1	BCO1
1	BDNF
1	BEAN1
1	BEST1
1	BHMT
1	BHMT2
1	BMX
1	BTBD18
1	C11orf42
1	C12orf56
1	C17orf100
1	C19orf25
1	C1QTNF7
1	C1orf131
1	C2orf88
1	C3orf49
1	C4BPA
1	C4orf51
1	C5orf34
1	CABYR
1	CALD1
1	CARD14
1	CASP8
1	CBR3
1	CC2D2A
1	CC2D2B
1	CCDC18
1	CCDC181
1	CCDC192
1	CCDC73
1	CCNC
1	CCNE2
1	CCNI2
1	CD274
1	CD5
1	CEACAM1
1	CELA2B
1	CEMIP
1	CEP76
1	CFAP100
1	CGGBP1
1	CHAC2
1	CHRM5
1	CHST9
1	CLDN18
1	CLDN20
1	CLEC5A
1	CLMP
1	CLYBL
1	CMTM2
1	CMTM7
1	CNBD2
1	CNGB3
1	COL10A1
1	COL4A3
1	COL6A6
1	COPS6
1	COQ10A
1	CPA6
1	CPB2
1	CPNE9
1	CPVL
1	CRLF3
1	CRYBG1
1	CSPG4
1	CTNS
1	CUTC
1	CXCL17
1	CYP3A4
1	CYP3A5
1	DALRD3
1	DCDC2B
1	DENND1B
1	DGAT2L6
1	DHODH
1	DLC1
1	DNAH10
1	DNAH9
1	DNAJB7
1	DNAJC2
1	DONSON
1	DRC3
1	DSC1
1	DUOX1
1	DUXB
1	ECM2
1	EDDM13
1	EDNRA
1	EEF1AKMT1
1	EFCAB13
1	EIF2A
1	EIF2B2
1	ELK3
1	EMC3
1	ENTPD3
1	ENTPD7
1	EPB42
1	ERAP1
1	ERCC6L
1	ERLEC1
1	ETV4
1	EXOSC8
1	EYS
1	F10
1	F11
1	F5
1	FAM151A
1	FAM184B
1	FAM186A
1	FAM200A
1	FAM20A
1	FAM217A
1	FAM221B
1	FAM90A1
1	FAT2
1	FBXL13
1	FBXL18
1	FBXW10
1	FILIP1L
1	FLG2
1	FMO5
1	FOXG1
1	FREM3
1	FSD2
1	FSIP2
1	FUT2
1	GAPDHS
1	GATA1
1	GATAD1
1	GBP6
1	GBP7
1	GC
1	GCNT7
1	GFRAL
1	GGCX
1	GHRL
1	GJB7
1	GLIPR1L1
1	GLOD5
1	GLRA1
1	GLS2
1	GLYCTK
1	GNE
1	GNPTAB
1	GNRHR
1	GOLGA8B
1	GPER1
1	GPR171
1	GPR183
1	GPR87
1	GPX2
1	GSTK1
1	GSTT2B
1	GUCY2C
1	HDDC2
1	HEPN1
1	HEXIM1
1	HHIP
1	HMGXB3
1	HRNR
1	HTR2B
1	HTR3E
1	IFNGR2
1	IGSF10
1	IGSF22
1	IGSF23
1	IGSF6
1	IL18
1	IL3RA
1	IL5
1	IL7
1	IMPG1
1	INTS12
1	KCNC1
1	KCNJ13
1	KHDC1
1	KIF23
1	KIF2C
1	KIF9
1	KLHL28
1	LDHAL6A
1	LHX4
1	LIPE
1	LIPH
1	LIPT1
