module_id	genes
1	AAMP
1	AASDHPPT
1	ABRACL
1	ACAD8
1	ACOT7
1	ACTG1
1	ADCYAP1
1	AIP
1	AKT1
1	ALG10B
1	ALKBH7
1	ANAPC13
1	ANAPC15
1	AP1S1
1	AP2S1
1	APRT
1	ARF3
1	ARHGDIG
1	ARHGEF25
1	ARL16
1	ARL2
1	ARMCX1
1	ARPC1A
1	ARPC5L
1	ASCL1
1	ATG101
1	ATN1
1	ATP1A3
1	ATP1B1
1	ATP6V1G1
1	ATRAID
1	B4GALT7
1	BLOC1S4
1	BNIP3
1	BORCS8
1	BTBD6
1	C1QBP
1	C1orf115
1	C1orf122
1	C1orf35
1	C5orf24
1	C6orf136
1	CALB1
1	CALB2
1	CALM3
1	CAMK1
1	CAMK2N1
1	CAMK2N2
1	CCDC106
1	CCDC115
1	CCT7
1	CD200
1	CD9
1	CDC37
1	CDK5R1
1	CENPV
1	CENPX
1	CETN2
1	CFL1
1	CHGA
1	CHMP2A
1	CITED2
1	CITED4
1	CLDND1
1	CLTB
1	CLU
1	COA3
1	COMMD3
1	COPE
1	COPS8
1	CPE
1	CREB3
1	CSPG5
1	CTBP1
1	CUEDC2
1	CWC15
1	CXCL14
1	CYC1
1	DAZAP2
1	DCK
1	DCTN6
1	DCTPP1
1	DCXR
1	DDX24
1	DDX54
1	DHPS
1	DNAJC8
1	DUT
1	DYNLT3
1	EEF1A2
1	EEF1E1
1	EID1
1	EID2B
1	EIF1AX
1	EIF1B
1	EIF2S2
1	EIF4A2
1	EMC7
1	ENHO
1	ENO1
1	EXOSC4
1	F8A1
1	FAM162A
1	FAM89B
1	FBXL16
1	FEZ1
1	FKBP1A
1	FUNDC1
1	FXYD1
1	GHITM
1	GJA1
1	GLRX5
1	GLUL
1	GNAS
1	GNB2
1	GPRASP2
1	GSTM3
1	GSTO1
1	GTF2A2
1	GTF2H5
1	GUK1
1	HCFC1R1
1	HEY1
1	HIGD1A
1	HMGB1
1	HNRNPK
1	HPS6
