"","genes","dynamicColors"
"1","A2M","black"
"2","A2ML1","greenyellow"
"3","A4GALT","pink"
"4","AAAS","blue"
"5","AACS","yellow"
"6","AADACL2","grey"
"7","AADAT","turquoise"
"8","AAGAB","blue"
"9","AAK1","cyan"
"10","AAMDC","blue"
"11","AAMP","brown"
"12","AAR2","blue"
"13","AARS2","blue"
"14","AARSD1","cyan"
"15","AASDH","blue"
"16","AASDHPPT","brown"
"17","AASS","turquoise"
"18","AATF","turquoise"
"19","AATK","darkred"
"20","ABAT","blue"
"21","ABCA1","turquoise"
"22","ABCA10","yellow"
"23","ABCA12","pink"
"24","ABCA2","red"
"25","ABCA3","pink"
"26","ABCA5","yellow"
"27","ABCA6","yellow"
"28","ABCA7","red"
"29","ABCA8","yellow"
"30","ABCA9","yellow"
"31","ABCB1","yellow"
"32","ABCB10","blue"
"33","ABCB6","blue"
"34","ABCB7","salmon"
"35","ABCB8","blue"
"36","ABCB9","blue"
"37","ABCC1","cyan"
"38","ABCC10","cyan"
"39","ABCC11","blue"
"40","ABCC3","yellow"
"41","ABCC4","blue"
"42","ABCC5","yellow"
"43","ABCC8","blue"
"44","ABCC9","salmon"
"45","ABCD1","greenyellow"
"46","ABCD2","greenyellow"
"47","ABCD3","turquoise"
"48","ABCD4","pink"
"49","ABCE1","turquoise"
"50","ABCF1","turquoise"
"51","ABCF2","red"
"52","ABCF3","red"
"53","ABCG1","yellow"
"54","ABCG2","yellow"
"55","ABCG5","blue"
"56","ABHD1","blue"
"57","ABHD10","lightyellow"
"58","ABHD11","turquoise"
"59","ABHD12","cyan"
"60","ABHD12B","blue"
"61","ABHD13","midnightblue"
"62","ABHD14A","brown"
"63","ABHD14B","turquoise"
"64","ABHD17A","magenta"
"65","ABHD17B","turquoise"
"66","ABHD17C","turquoise"
"67","ABHD18","green"
"68","ABHD2","blue"
"69","ABHD3","turquoise"
"70","ABHD4","turquoise"
"71","ABHD5","turquoise"
"72","ABHD6","blue"
"73","ABHD8","blue"
"74","ABI1","turquoise"
"75","ABI2","greenyellow"
"76","ABI3","green"
"77","ABI3BP","blue"
"78","ABL1","blue"
"79","ABL2","blue"
"80","ABLIM1","blue"
"81","ABLIM2","yellow"
"82","ABLIM3","blue"
"83","ABR","blue"
"84","ABRACL","brown"
"85","ABTB1","red"
"86","ABTB2","salmon"
"87","ACAA1","magenta"
"88","ACAA2","turquoise"
"89","ACACA","blue"
"90","ACACB","blue"
"91","ACAD10","green"
"92","ACAD8","brown"
"93","ACAD9","green"
"94","ACADL","blue"
"95","ACADM","turquoise"
"96","ACADS","red"
"97","ACADSB","turquoise"
"98","ACADVL","magenta"
"99","ACAP1","turquoise"
"100","ACAP2","turquoise"
"101","ACAP3","red"
"102","ACAT1","blue"
"103","ACAT2","blue"
"104","ACBD3","turquoise"
"105","ACBD4","blue"
"106","ACBD5","turquoise"
"107","ACBD6","turquoise"
"108","ACBD7","blue"
"109","ACCS","blue"
"110","ACD","red"
"111","ACER2","yellow"
"112","ACER3","turquoise"
"113","ACHE","red"
"114","ACIN1","turquoise"
"115","ACKR1","red"
"116","ACKR2","blue"
"117","ACKR3","turquoise"
"118","ACKR4","black"
"119","ACLY","turquoise"
"120","ACMSD","black"
"121","ACO1","blue"
"122","ACO2","purple"
"123","ACOT1","blue"
"124","ACOT11","lightgreen"
"125","ACOT13","turquoise"
"126","ACOT2","black"
"127","ACOT6","black"
"128","ACOT7","tan"
"129","ACOT8","blue"
"130","ACOT9","green"
"131","ACOX1","turquoise"
"132","ACOX2","blue"
"133","ACOX3","green"
"134","ACP1","turquoise"
"135","ACP2","grey60"
"136","ACP6","turquoise"
"137","ACSBG1","blue"
"138","ACSBG2","blue"
"139","ACSF2","lightgreen"
"140","ACSF3","blue"
"141","ACSL1","blue"
"142","ACSL3","turquoise"
"143","ACSL4","turquoise"
"144","ACSL6","turquoise"
"145","ACSM3","black"
"146","ACSM5","blue"
"147","ACSM6","royalblue"
"148","ACSS1","greenyellow"
"149","ACSS2","blue"
"150","ACSS3","turquoise"
"151","ACTA2","salmon"
"152","ACTB","brown"
"153","ACTG1","brown"
"154","ACTL6A","blue"
"155","ACTL6B","red"
"156","ACTN1","pink"
"157","ACTN2","royalblue"
"158","ACTN4","turquoise"
"159","ACTR10","turquoise"
"160","ACTR1A","turquoise"
"161","ACTR1B","red"
"162","ACTR2","lightyellow"
"163","ACTR3","turquoise"
"164","ACTR3B","turquoise"
"165","ACTR3C","blue"
"166","ACTR5","turquoise"
"167","ACTR6","turquoise"
"168","ACTR8","turquoise"
"169","ACTRT3","grey"
"170","ACVR1","pink"
"171","ACVR1B","grey60"
"172","ACVR1C","turquoise"
"173","ACVR2A","turquoise"
"174","ACVR2B","turquoise"
"175","ACYP1","midnightblue"
"176","ACYP2","greenyellow"
"177","ADA","pink"
"178","ADA2","blue"
"179","ADAM10","turquoise"
"180","ADAM11","red"
"181","ADAM12","pink"
"182","ADAM15","blue"
"183","ADAM17","turquoise"
"184","ADAM19","yellow"
"185","ADAM2","salmon"
"186","ADAM20","blue"
"187","ADAM21","black"
"188","ADAM22","darkred"
"189","ADAM23","blue"
"190","ADAM28","yellow"
"191","ADAM32","blue"
"192","ADAM33","brown"
"193","ADAM7","grey"
"194","ADAM8","magenta"
"195","ADAM9","turquoise"
"196","ADAMTS1","royalblue"
"197","ADAMTS10","blue"
"198","ADAMTS12","pink"
"199","ADAMTS13","blue"
"200","ADAMTS16","black"
"201","ADAMTS17","greenyellow"
"202","ADAMTS18","purple"
"203","ADAMTS19","yellow"
"204","ADAMTS3","turquoise"
"205","ADAMTS6","yellow"
"206","ADAMTS7","green"
"207","ADAMTS8","red"
"208","ADAMTS9","blue"
"209","ADAMTSL1","yellow"
"210","ADAMTSL2","blue"
"211","ADAMTSL3","blue"
"212","ADAMTSL4","royalblue"
"213","ADAMTSL5","greenyellow"
"214","ADAP1","red"
"215","ADAP2","green"
"216","ADAR","blue"
"217","ADARB1","darkred"
"218","ADARB2","yellow"
"219","ADAT1","blue"
"220","ADAT2","blue"
"221","ADCK1","blue"
"222","ADCK2","tan"
"223","ADCK5","red"
"224","ADCY1","yellow"
"225","ADCY10","blue"
"226","ADCY2","turquoise"
"227","ADCY3","pink"
"228","ADCY5","yellow"
"229","ADCY6","blue"
"230","ADCY7","yellow"
"231","ADCY8","blue"
"232","ADCY9","salmon"
"233","ADCYAP1","magenta"
"234","ADCYAP1R1","blue"
"235","ADD1","blue"
"236","ADD2","lightcyan"
"237","ADD3","greenyellow"
"238","ADGRA1","lightcyan"
"239","ADGRA3","turquoise"
"240","ADGRB1","lightgreen"
"241","ADGRB2","red"
"242","ADGRB3","greenyellow"
"243","ADGRE5","blue"
"244","ADGRF3","turquoise"
"245","ADGRF5","yellow"
"246","ADGRG1","turquoise"
"247","ADGRG2","black"
"248","ADGRG7","grey"
"249","ADGRL1","yellow"
"250","ADGRL2","yellow"
"251","ADGRL3","turquoise"
"252","ADGRV1","greenyellow"
"253","ADH1A","blue"
"254","ADH4","black"
"255","ADH5","turquoise"
"256","ADH6","black"
"257","ADHFE1","lightgreen"
"258","ADI1","turquoise"
"259","ADIPOR1","lightyellow"
"260","ADIPOR2","turquoise"
"261","ADIRF","brown"
"262","ADK","turquoise"
"263","ADM","salmon"
"264","ADNP","turquoise"
"265","ADNP2","turquoise"
"266","ADO","lightyellow"
"267","ADORA1","blue"
"268","ADORA2B","blue"
"269","ADPGK","blue"
"270","ADPRH","blue"
"271","ADPRHL1","greenyellow"
"272","ADPRM","black"
"273","ADRA1A","blue"
"274","ADRA1B","salmon"
"275","ADRA2A","grey"
"276","ADRB1","turquoise"
"277","ADRB2","pink"
"278","ADRM1","magenta"
"279","ADSL","turquoise"
"280","ADTRP","yellow"
"281","AEBP1","pink"
"282","AEBP2","darkred"
"283","AFAP1","yellow"
"284","AFAP1L2","yellow"
"285","AFDN","turquoise"
"286","AFF1","salmon"
"287","AFF2","yellow"
"288","AFF3","yellow"
"289","AFF4","blue"
"290","AFG1L","turquoise"
"291","AFG3L2","blue"
"292","AFMID","tan"
"293","AFTPH","turquoise"
"294","AGA","turquoise"
"295","AGAP1","green"
"296","AGAP2","red"
"297","AGAP3","red"
"298","AGAP4","turquoise"
"299","AGAP6","turquoise"
"300","AGAP9","turquoise"
"301","AGBL1","turquoise"
"302","AGBL2","blue"
"303","AGBL3","black"
"304","AGBL4","blue"
"305","AGBL5","black"
"306","AGER","blue"
"307","AGFG1","turquoise"
"308","AGFG2","blue"
"309","AGGF1","turquoise"
"310","AGK","blue"
"311","AGL","turquoise"
"312","AGMO","turquoise"
"313","AGO1","green"
"314","AGO2","blue"
"315","AGO3","turquoise"
"316","AGO4","blue"
"317","AGPAT1","magenta"
"318","AGPAT2","red"
"319","AGPAT3","green"
"320","AGPAT4","yellow"
"321","AGPAT5","turquoise"
"322","AGPS","turquoise"
"323","AGRN","red"
"324","AGRP","grey"
"325","AGT","turquoise"
"326","AGTPBP1","turquoise"
"327","AGTR1","grey"
"328","AGTRAP","turquoise"
"329","AHCTF1","turquoise"
"330","AHCY","turquoise"
"331","AHCYL1","royalblue"
"332","AHCYL2","turquoise"
"333","AHDC1","salmon"
"334","AHI1","blue"
"335","AHNAK","blue"
"336","AHNAK2","lightcyan"
"337","AHRR","blue"
"338","AHSA1","brown"
"339","AIDA","turquoise"
"340","AIF1L","purple"
"341","AIFM1","blue"
"342","AIFM2","turquoise"
"343","AIFM3","lightgreen"
"344","AIG1","greenyellow"
"345","AIM2","pink"
"346","AIMP1","turquoise"
"347","AIMP2","blue"
"348","AIP","magenta"
