"","genes","dynamicColors"
"1","A2M","greenyellow"
"2","AAAS","magenta"
"3","AACS","blue"
"4","AAGAB","turquoise"
"5","AAK1","pink"
"6","AAMDC","brown"
"7","AAMP","black"
"8","AAR2","magenta"
"9","AARD","grey"
"10","AARS2","magenta"
"11","AASDH","turquoise"
"12","AASDHPPT","black"
"13","AASS","brown"
"14","AATF","purple"
"15","AATK","turquoise"
"16","ABAT","brown"
"17","ABCA1","cyan"
"18","ABCA10","blue"
"19","ABCA2","yellow"
"20","ABCA3","blue"
"21","ABCA5","blue"
"22","ABCA6","blue"
"23","ABCA7","turquoise"
"24","ABCA8","turquoise"
"25","ABCA9","blue"
"26","ABCB1","turquoise"
"27","ABCB10","turquoise"
"28","ABCB4","turquoise"
"29","ABCB7","turquoise"
"30","ABCB8","turquoise"
"31","ABCB9","blue"
"32","ABCC1","turquoise"
"33","ABCC10","turquoise"
"34","ABCC3","grey"
"35","ABCC4","brown"
"36","ABCC5","brown"
"37","ABCC6","grey"
"38","ABCC8","turquoise"
"39","ABCC9","blue"
"40","ABCD2","blue"
"41","ABCD3","brown"
"42","ABCD4","turquoise"
"43","ABCE1","turquoise"
"44","ABCF1","yellow"
"45","ABCF2","turquoise"
"46","ABCF3","turquoise"
"47","ABCG1","turquoise"
"48","ABCG2","turquoise"
"49","ABHD10","turquoise"
"50","ABHD11","greenyellow"
"51","ABHD12","turquoise"
"52","ABHD12B","turquoise"
"53","ABHD13","turquoise"
"54","ABHD14A","green"
"55","ABHD14B","red"
"56","ABHD17A","red"
"57","ABHD17B","turquoise"
"58","ABHD17C","turquoise"
"59","ABHD18","turquoise"
"60","ABHD2","turquoise"
"61","ABHD3","turquoise"
"62","ABHD5","turquoise"
"63","ABHD6","turquoise"
"64","ABHD8","turquoise"
"65","ABI1","pink"
"66","ABI2","blue"
"67","ABI3","turquoise"
"68","ABI3BP","blue"
"69","ABL1","turquoise"
"70","ABL2","royalblue"
"71","ABLIM1","blue"
"72","ABLIM2","blue"
"73","ABLIM3","blue"
"74","ABR","greenyellow"
"75","ABRACL","black"
"76","ABT1","green"
"77","ABTB1","red"
"78","ABTB2","grey"
"79","ACAA1","red"
"80","ACAA2","turquoise"
"81","ACACA","turquoise"
"82","ACACB","brown"
"83","ACAD10","brown"
"84","ACAD8","black"
"85","ACAD9","turquoise"
"86","ACADM","turquoise"
"87","ACADSB","turquoise"
"88","ACADVL","red"
"89","ACAP2","brown"
"90","ACAP3","red"
"91","ACAT1","turquoise"
"92","ACAT2","yellow"
"93","ACBD3","pink"
"94","ACBD4","brown"
"95","ACBD5","turquoise"
"96","ACBD6","brown"
"97","ACCS","brown"
"98","ACD","magenta"
"99","ACER2","turquoise"
"100","ACER3","royalblue"
"101","ACHE","red"
"102","ACIN1","salmon"
"103","ACLY","turquoise"
"104","ACO1","brown"
"105","ACO2","turquoise"
"106","ACOT11","blue"
"107","ACOT13","green"
"108","ACOT7","black"
"109","ACOT8","red"
"110","ACOT9","lightyellow"
"111","ACOX1","turquoise"
"112","ACOX3","turquoise"
"113","ACP1","turquoise"
"114","ACP2","turquoise"
"115","ACP6","brown"
"116","ACSBG1","blue"
"117","ACSBG2","turquoise"
"118","ACSF2","greenyellow"
"119","ACSF3","turquoise"
"120","ACSL1","royalblue"
"121","ACSL3","turquoise"
"122","ACSL4","pink"
"123","ACSL5","magenta"
"124","ACSL6","yellow"
"125","ACSM3","grey"
"126","ACSM4","lightcyan"
"127","ACSM5","greenyellow"
"128","ACSS1","brown"
"129","ACSS2","turquoise"
"130","ACSS3","blue"
"131","ACTA2","brown"
"132","ACTB","green"
"133","ACTG1","black"
"134","ACTL6A","turquoise"
"135","ACTL6B","yellow"
"136","ACTN1","blue"
"137","ACTN2","blue"
"138","ACTN4","turquoise"
"139","ACTR10","turquoise"
"140","ACTR1A","turquoise"
"141","ACTR1B","red"
"142","ACTR2","pink"
"143","ACTR3","pink"
"144","ACTR3B","turquoise"
"145","ACTR3C","turquoise"
"146","ACTR5","turquoise"
"147","ACTR6","turquoise"
"148","ACTR8","turquoise"
"149","ACVR1","turquoise"
"150","ACVR1B","cyan"
"151","ACVR1C","blue"
"152","ACVR2A","blue"
"153","ACVR2B","brown"
"154","ACY3","greenyellow"
"155","ACYP1","green"
"156","ACYP2","brown"
"157","ADA2","greenyellow"
"158","ADAM10","brown"
"159","ADAM11","red"
"160","ADAM12","brown"
"161","ADAM15","turquoise"
"162","ADAM17","pink"
"163","ADAM19","turquoise"
"164","ADAM22","blue"
"165","ADAM23","blue"
"166","ADAM28","brown"
"167","ADAM32","turquoise"
"168","ADAM9","lightyellow"
"169","ADAMTS10","brown"
"170","ADAMTS12","grey"
"171","ADAMTS15","grey"
"172","ADAMTS16","blue"
"173","ADAMTS17","turquoise"
"174","ADAMTS19","blue"
"175","ADAMTS2","lightcyan"
"176","ADAMTS3","blue"
"177","ADAMTS4","cyan"
"178","ADAMTS6","blue"
"179","ADAMTS9","turquoise"
