index,z_ast_ctrl,z_ast_scz,delta_z,p_value,fdr_bh
Mic1,0.2363662146138494,0.2131811334377175,-0.02318508117613191,0.8747287673749721,0.8747287673749721
Mic2,0.31877615982487506,0.615477568289027,0.29670140846415194,0.04364102514206651,0.07934731844012093
Mic3,0.16049583783160243,0.62727206303908,0.4667762252074776,0.0015035155591898422,0.010023437061265615
Mic4,0.3846271515694861,0.46203916143881507,0.07741200986932895,0.5986177069722719,0.6651307855247466
Mic5,0.34749187995613634,0.12324865616006393,-0.22424322379607242,0.12730443147345655,0.18186347353350937
Mic6,0.5401264340733477,0.940743648378048,0.4006172143047003,0.006447046693459445,0.021490155644864818
Mic8,0.11024416281547336,-0.018644175216281367,-0.12888833803175473,0.38080163687071833,0.4760020460883979
Mic9,-0.11908847940599207,0.18392543180513804,0.3030139112111301,0.03935588289723414,0.07871176579446829
Mic10,0.35220177030373934,0.8758865084821648,0.5236847381784254,0.0003694831333426555,0.007389662666853109
Mic11,1.0417374604302805,1.3033876746616557,0.26165021423137524,0.07521027941420771,0.11570812217570417
Mic12,0.2650845807647204,0.6250730292537745,0.3599884484890541,0.014370580053270432,0.03326887596803794
Mic13,-0.10764291102230204,0.2501713318608524,0.35781424288315444,0.014970994185617073,0.03326887596803794
Mic14,0.5507501097647433,0.9242667616980289,0.37351665193328565,0.011089879998579511,0.031685371424512894
Mic15,0.8713437474050505,1.1578555849034007,0.2865118374983502,0.05138685736865056,0.08564476228108428
Mic16,0.22595934900718065,0.2660537225971488,0.040094373589968174,0.7851335232711092,0.8264563402853782
Mic17,0.9323958202681394,0.7252544196302235,-0.20714140063791586,0.15897460668348706,0.2119661422446494
Mic18,0.3806834632942696,0.8654065318477997,0.4847230685535301,0.0009805812144422607,0.009805812144422606
Mic19,0.09728587193134672,0.5278907050055448,0.43060483307419806,0.0034110132544717077,0.01364405301788683
Mic20,0.46940058687812736,0.9145175356391637,0.44511694876103636,0.002472191774681916,0.01236095887340958
Mic21,0.3138444764745146,0.42332285527683877,0.1094783788023242,0.4566130062233533,0.5371917720274745
