,Ast1,Ast2,Ast3,Ast4,Ast5,Ast7,Ast8,Ast9,Ast10,Ast11,Ast12,Ast13,Ast14,Ast15,Ast16,Ast17,Ast18,Ast19,Ast20
Mic1,0.9990952472056058,0.50548059507978,0.6198063899558874,0.5993859913753037,0.5524558521565179,0.5671705258888162,0.4177604117629672,0.2924408319793961,0.3897358274428,0.6342408795585319,0.2614601182097249,0.036322734881715446,0.19646020072026116,0.8748502736064383,0.16940504499232967,0.4195202343835396,0.12448695965737255,0.34771741651372756,0.930353100861842
Mic2,0.11522385289027115,0.4956153771309366,0.3100462359748426,0.5800330606092223,0.48272962680438947,0.7974110267461638,0.7871113594183712,0.9952669508676879,0.6858658752815647,0.8555425710928617,0.5777673961538243,0.7534024962390584,0.37764018182816983,0.03380035333901721,0.9347253017237955,0.11571163667469131,0.7876807510094994,0.6865063484100371,0.7091094744264446
Mic3,0.07316190891953034,0.7051044977576353,0.24064246621742624,0.9945539391658134,0.07938179859873307,0.42939434267165755,0.06461328104867148,0.9040887287992159,0.9225053423359282,0.021823161095468446,0.5677006589509097,0.6218871952943885,0.4768584526724391,0.0015068553636561344,0.9948346350415376,0.04052128796715926,0.58971781046277,0.7542070165260033,0.9033137961605817
Mic4,0.7880015897864412,0.594629370848659,0.3140525365256519,0.7690770239683937,0.35086731303102514,0.6531877846953784,0.19397277653078193,0.5541835989711026,0.4467557370735151,0.3494120418574598,0.3613550778314254,0.30454682234142405,0.4915834431964927,0.5975538511921858,0.585544225098086,0.9311930933395562,0.411184578921032,0.43560345278131374,0.5841775067622381
Mic5,0.13660361920929898,0.076539524793245,0.19508927500547957,0.11063437366190354,0.08797221612715656,0.11665822829173234,0.07460761165638896,0.0060921452087352446,0.0037129155350827947,0.23710034030426552,0.004982003899125731,0.0006352011850112582,0.040449744635487006,0.12715839866525025,0.0020037225765439093,0.022002309072605808,0.00043353401186685403,0.026389450854569674,0.13510273505752934
Mic6,0.9325634617284155,0.7881271320066241,0.6182503676995521,0.7285582602790888,0.16543760444463396,0.6865340307157273,0.2295602212304675,0.2725932047991866,0.14112935359400014,0.523734724049737,0.49407137634746934,0.4267819134190758,0.9455519091865701,0.006468914184372565,0.4303312875408185,0.23874433912502768,0.29551586336150515,0.5555848558442325,0.16300473185175957
Mic8,0.4376591748404648,0.29365742979744613,0.001988110544624888,0.48209366321757163,0.5185652737260844,0.42412569323255944,0.24591104309694156,0.3619031123782368,0.49829472636426164,0.3913262371169446,0.21964871433058075,0.052315895806900325,0.08104070625541548,0.38084754844346436,0.18809780474723836,0.16251942933958308,0.25586442570141044,0.16846947923471345,0.8887157731265933
Mic9,0.008930462854546128,0.9200820257070892,0.5794479670854453,0.9613894735382251,0.5691003287667531,0.7459987776590498,0.5302669756346869,0.908283084990172,0.8195765647743667,0.28618840464938033,0.6586068032905903,0.5802863894091352,0.9109437847751343,0.03936091209455839,0.9698000060565404,0.30986970639435985,0.5503025276937528,0.8702454889027811,0.9802066185732621
Mic10,0.2839602519936846,0.9419634085844291,0.3217071923486252,0.9785650754293906,0.20341721252406408,0.8542105456687688,0.3054520266931049,0.8224330601592569,0.6192343574006489,0.38097205399887324,0.7462891551457953,0.905176432452059,0.5490212995082446,0.0003684225984024181,0.9720662466653738,0.023403556675453796,0.963143044800066,0.9926977800688357,0.3404679875531309
Mic11,0.5518150205874162,0.6672610447767833,0.8487617759160171,0.5670855576255587,0.9025156326541697,0.7360375293037575,0.8535731317224675,0.813818809357125,0.7380250493627953,0.5297309523302782,0.7296320979481234,0.5949464238441029,0.8128438111785232,0.07570576908096704,0.8601420766189556,0.7605921251609973,0.6089853833001269,0.8370843824141956,0.7952008156785095
