index,z_snap_ctrl,z_snap_scz,delta_z,p_value,fdr_bh
Mic1,0.012708632922945438,-0.19379447444010053,-0.20650310736304597,0.16026278515776726,0.20032848144720908
Mic2,0.29185221807591166,-0.08177040359271699,-0.37362262166862864,0.011067053602248076,0.03162015314928022
Mic3,0.5782664279078077,-0.029515091123798336,-0.607781519031606,3.58342939855228e-05,0.000716685879710456
Mic4,-0.10453310915129506,-0.43875047383710464,-0.3342173646858096,0.023048791116814325,0.05762197779203581
Mic5,-0.16775384370562837,-0.31874697911478556,-0.15099313540915718,0.30454794134967367,0.35829169570549846
Mic6,0.053044380985867584,-0.2665041401919661,-0.3195485211778337,0.029789414804137014,0.06619869956474891
Mic8,-0.14512537920415183,-0.23456420952826576,-0.08943883032411393,0.5430748443273855,0.5430748443273855
Mic9,0.6279997651574064,0.32417630306858203,-0.3038234620888244,0.03883308398225277,0.0759907680702395
Mic10,0.26925610757965407,-0.13346851195707896,-0.402724619536733,0.0061727033323613,0.0246908133294452
Mic11,-0.2053622497012349,-0.2966984470862749,-0.09133619738504001,0.534552500381104,0.5430748443273855
Mic12,0.010078894548797493,-0.254234433030276,-0.2643133275790735,0.07228981414206762,0.1032711630600966
Mic13,0.8000866487526526,0.2312861753340157,-0.5688004734186369,0.00010984293641608674,0.0010984293641608674
Mic14,0.16325889360128462,-0.2294895028262919,-0.39274839642757653,0.00757098030611432,0.02523660102038107
Mic15,0.011720792676987748,-0.2876327315959853,-0.299353524272973,0.041794922438631726,0.0759907680702395
Mic16,0.11845653541718623,-0.1364767937722095,-0.2549333291893957,0.08300575279989793,0.11067433706653057
Mic17,-0.23480482460326665,-0.35859976187219456,-0.1237949372689279,0.399907810227091,0.44434201136343443
Mic18,0.3033608699275741,-0.18709740077980733,-0.49045827070738146,0.0008528766218036208,0.005685844145357472
Mic19,0.11850226547568032,-0.16960948136788276,-0.2881117468435631,0.05009942902608681,0.08349904837681135
Mic20,0.30535395990297953,-0.1672888246402293,-0.47264278454320885,0.0013094718786994827,0.0065473593934974135
Mic21,0.13163794369807624,-0.14056961353650976,-0.272207557234586,0.06417414068768566,0.0987294472118241
